title,viewCount,likeCount,commentCount,dislikeCount,human_labeled,title_char_len,title_word_len,title_clean,feat_char_len,feat_word_count,feat_exclaim,feat_question,feat_has_number,feat_caps_ratio,label
এইমাত্র! মসজিদে নামাজরত অবস্থায় তিন বৃদ্ধকে পিটালো যুবলীগ নেতা! ন্যাক্কারজনক ঘটনায় তোলপাড় সারাদেশ,12743,536,45.0,35.0,Clickbait,97,13,এইমাত্র মসজিদে নামাজরত অবস্থায় তিন বৃদ্ধকে পিটালো যুবলীগ নেতা ন্যাক্কারজনক ঘটনায় তোলপাড় সারাদেশ,97,13,2,0,0,0.0,1
"১০ বছরের সন্তান ফেলে আ,লীগ নেতার সাথে পালিয়ে গেল এমপির মেয়ে! সব হারিয়ে কাঁদছে এমপি ও জামাই",22440,362,10.0,20.0,Clickbait,90,17,১০ বছরের সন্তান ফেলে লীগ নেতার সাথে পালিয়ে গেল এমপির মেয়ে হারিয়ে কাঁদছে এমপি জামাই,90,17,1,0,1,0.0,1
এই মাত্র পাওয়া খবর! ৫ বছরের জেল হচ্ছে পরীমনির! বাঁচাতে পারলোনা নায়ক শাকিব খানও। Pori Moni News,46416,677,53.0,57.0,Clickbait,94,17,মাত্র পাওয়া খবর বছরের জেল হচ্ছে পরীমনির বাঁচাতে পারলোনা নায়ক শাকিব খানও,94,17,2,0,1,0.031914893617021274,1
ছি ছি! ভাগিনার সাথে পরকীয়ার সময় হাতেনাতে ধরা খেল মামী। গাছে বেঁধে গনধোলাই দিয়ে পুলিশে দিল এলাকাবাসী,50177,558,23.0,40.0,Clickbait,99,17,ছি ছি ভাগিনার সাথে পরকীয়ার সময় হাতেনাতে ধরা খেল মামী গাছে বেঁধে গনধোলাই দিয়ে পুলিশে দিল এলাকাবাসী,99,17,1,0,0,0.0,1
হায়রে পরীমনি! কারাগারে গিয়েও ভালো হলোনা! কারাগারেও মদ খাচ্ছে পরীমনি! দেখুন সত্যি নাকি গজব? Pori Moni,114242,1352,59.0,122.0,Clickbait,100,16,হায়রে পরীমনি কারাগারে গিয়েও ভালো হলোনা কারাগারেও মদ খাচ্ছে পরীমনি সত্যি নাকি গজব,100,16,3,1,0,0.02,1
শেষ রক্ষা হলোনা! ভয়াবহ বন্যায় তলিয়ে গেল নীলফামারী ও সিরাজগঞ্জ! ভয়ঙ্কর ভাঙনের মুখে কুষ্টিয়া। Flood BD,24908,367,14.0,27.0,Clickbait,100,16,রক্ষা হলোনা ভয়াবহ বন্যায় তলিয়ে গেল নীলফামারী সিরাজগঞ্জ ভয়ঙ্কর ভাঙনের মুখে কুষ্টিয়া,100,16,2,0,0,0.03,1
সে*ক্সটয় দিয়ে বিশেষ রুমে যা যা করতো পরীর গডফাদার রাজ! রিমান্ডে নিজ মুখে সব স্বীকার করলো। Pori। Razz,63396,829,48.0,49.0,Clickbait,99,18,ক্সটয় দিয়ে বিশেষ রুমে যা যা করতো পরীর গডফাদার রাজ রিমান্ডে নিজ মুখে স্বীকার করলো,99,18,1,0,0,0.020202020202020204,1
"অন্ধকার কারাগারে কেমন কাটলো পরীমনির ১ম রাত? অঝোরে কেঁদেছে সারারাত, খায়নি কিছু। Pori Moni in Jail",48094,715,37.0,68.0,Clickbait,96,16,অন্ধকার কারাগারে কেমন কাটলো পরীমনির ১ম রাত অঝোরে কেঁদেছে সারারাত খায়নি,96,16,0,1,1,0.03125,1
আমার পরীকে ছেড়ে দে! অবশেষে নায়িকা পরীমনিকে মুক্ত করতে কঠিন হুংকার দিলো শাকিব খান ও আসিফ। Pori Moni,209736,2667,349.0,338.0,Clickbait,98,18,আমার পরীকে ছেড়ে দে অবশেষে নায়িকা পরীমনিকে মুক্ত করতে কঠিন হুংকার দিলো শাকিব খান আসিফ,98,18,1,0,0,0.02040816326530612,1
ব্রেকিং! নওগাঁয় আসামি ধরতে গিয়ে কঠিন মারপিটের শিকার এসআই। ও ডাকাতি করতে গিয়ে আটক সাবেক পুলিশ,36274,447,7.0,14.0,Clickbait,92,16,ব্রেকিং নওগাঁয় আসামি ধরতে গিয়ে কঠিন মারপিটের শিকার এসআই ডাকাতি করতে গিয়ে আটক সাবেক পুলিশ,92,16,1,0,0,0.0,1
ইয়া আল্লাহ বাঁচাও! আচমকা বন্যায় তলিয়ে গেল পুরো রংপুর! নদী ভাঙনে বিলীন শতশত বাড়িঘর। Flood BD 2021,48606,660,30.0,38.0,Clickbait,96,17,ইয়া আল্লাহ বাঁচাও আচমকা বন্যায় তলিয়ে গেল পুরো রংপুর নদী ভাঙনে বিলীন শতশত বাড়িঘর,96,17,2,0,1,0.03125,1
শেষ রক্ষা হলোনা নষ্ট পরীমনির! ধরে বেঁধে কারাগারে ঢুকালো পুলিশ। পড়ালো সাদা শাড়ি। Pori Moni in Jail,150964,1658,127.0,170.0,Clickbait,97,17,রক্ষা হলোনা নষ্ট পরীমনির ধরে বেঁধে কারাগারে ঢুকালো পুলিশ পড়ালো সাদা শাড়ি,97,17,1,0,0,0.030927835051546393,1
টানা ৩ দিন ভোগের পর! প্রেমিকের বাড়িতে এক সন্তানের জননীর অনশন। বিয়ে না করলে গলায় দড়ি দেয়ার হুংকার,16197,147,5.0,12.0,Clickbait,96,18,টানা ভোগের প্রেমিকের বাড়িতে এক সন্তানের জননীর অনশন বিয়ে করলে গলায় দড়ি দেয়ার হুংকার,96,18,1,0,1,0.0,1
ছি! ছি! কলকাতা গিয়েও হোটেলে কুকাম করে বেড়াতো পরীমনি। সব ফাঁস করলো ভারতীয় পুলিশ ও পরীর গ্রামবাসী,99046,1043,35.0,73.0,Clickbait,95,17,ছি ছি কলকাতা গিয়েও হোটেলে কুকাম বেড়াতো পরীমনি ফাঁস করলো ভারতীয় পুলিশ পরীর গ্রামবাসী,95,17,2,0,0,0.0,1
ব্রেকিং নিউজ! রিমান্ডে পরীমনিকে ধ*র্ষ'ণ! যা নিয়ে তোলপাড় চলছে! ভারত থেকে প্রশ্ন তুললো তসলিমা,136209,1349,48.0,114.0,Clickbait,91,14,ব্রেকিং নিউজ রিমান্ডে পরীমনিকে র্ষ যা নিয়ে তোলপাড় চলছে ভারত প্রশ্ন তুললো তসলিমা,91,14,3,0,0,0.0,1
ব্রেকিং! সুনামগঞ্জে এসআইকে পিটিয়ে হাসপাতালে পাঠালো যুবলীগ নেতা! উত্তাল পুরোদেশ। Bangla News Today,42862,931,30.0,41.0,Clickbait,97,13,ব্রেকিং সুনামগঞ্জে এসআইকে পিটিয়ে হাসপাতালে পাঠালো যুবলীগ নেতা উত্তাল পুরোদেশ,97,13,2,0,0,0.030927835051546393,1
"গরম খবর! স্বর্ণ চুরি করা সেই ৬ পুলিশকে রিমান্ডে নিলো র‍্যাব। ছাড় নাই, মেরে হাড্ডি গুঁড়ো করা হচ্ছে",69893,1485,94.0,78.0,Clickbait,97,18,গরম খবর স্বর্ণ চুরি করা পুলিশকে রিমান্ডে নিলো ্যাব ছাড় নাই মেরে হাড্ডি গুঁড়ো করা হচ্ছে,97,18,1,0,1,0.0,1
কয়েক মিনিটেই! সবার চোখের সামনে ভেঙ্গে পড়লো বিশাল স্কুলটি! কেঁদে কেঁদে বেহুশ শিক্ষার্থী ও শিক্ষকরা,41009,531,20.0,25.0,Clickbait,97,15,কয়েক মিনিটেই সবার চোখের সামনে ভেঙ্গে পড়লো বিশাল স্কুলটি কেঁদে কেঁদে বেহুশ শিক্ষার্থী শিক্ষকরা,97,15,2,0,0,0.0,1
